Unnamed: 0,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Current_Age,Kilometers_Per_Year
1,Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,0,0,1,19.67,1582.0,126.2,5.0,12.5,8,5125.0
2,Honda Jazz V,Chennai,2011,46000,1,0,1,18.19,1199.0,88.7,5.0,4.5,12,3833.3333333333335
3,Maruti Ertiga VDI,Chennai,2012,87000,0,0,1,20.77,1248.0,88.76,7.0,6.0,11,7909.090909090909
4,Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,0,1,2,15.2,1968.0,140.8,5.0,17.74,10,4067.0
6,Nissan Micra Diesel XV,Jaipur,2013,86999,0,0,1,23.08,1461.0,63.1,5.0,3.5,10,8699.9
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,0,1,1,11.36,2755.0,171.5,8.0,17.5,7,5142.857142857143
8,Volkswagen Vento Diesel Comfortline,Pune,2013,64430,0,0,1,20.54,1598.0,103.6,5.0,5.2,10,6443.0
9,Tata Indica Vista Quadrajet LS,Chennai,2012,65932,0,0,2,22.3,1248.0,88.8,5.0,1.95,11,5993.818181818182
10,Maruti Ciaz Zeta,Kochi,2018,25692,1,0,1,21.56,1462.0,103.25,5.0,9.95,5,5138.4
11,Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,1,1,1,16.8,1497.0,116.3,5.0,4.49,11,5454.545454545455
12,Maruti Swift VDI BSIV,Jaipur,2015,64424,0,0,1,25.2,1248.0,88.8,5.0,5.6,8,8053.0
13,Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,0,1,1,12.7,2179.0,187.7,5.0,27.0,9,8000.0
14,Land Rover Freelander 2 TD4 SE,Pune,2012,85000,0,1,2,0.0,2179.0,88.8,5.0,17.5,11,7727.272727272727
15,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,0,0,1,13.5,2477.0,175.56,7.0,15.0,9,12222.222222222223
16,Honda Amaze S i-Dtech,Kochi,2016,58950,0,0,1,25.8,1498.0,98.6,5.0,5.4,7,8421.42857142857
17,Maruti Swift DDiS VDI,Jaipur,2017,25000,0,0,1,28.4,1248.0,88.8,5.0,5.99,6,4166.666666666667
18,Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,0,0,1,20.45,1461.0,83.8,5.0,6.34,9,8607.666666666666
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,0,1,1,14.84,2143.0,167.62,5.0,28.0,9,8722.222222222223
20,BMW 3 Series 320d,Kochi,2014,32982,0,1,1,22.69,1995.0,88.8,5.0,18.55,9,3664.6666666666665
21,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,0,0,2,23.65,1248.0,88.5,5.0,8.25,8,6924.0
22,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,1,1,1,13.53,1984.0,177.01,5.0,23.5,8,6998.125
23,Hyundai i20 1.2 Magna,Kolkata,2010,45807,1,0,1,18.5,1197.0,88.8,5.0,1.87,13,3523.6153846153848
24,Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,1,1,1,14.4,1598.0,103.6,5.0,2.85,13,2538.4615384615386
25,Honda City Corporate Edition,Mumbai,2012,51920,1,0,1,16.8,1497.0,116.3,5.0,4.25,11,4720.0
26,Nissan Micra Diesel XV,Hyderabad,2012,54000,0,0,1,16.48,1461.0,63.1,5.0,4.25,11,4909.090909090909
27,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,1,0,2,20.92,998.0,67.1,5.0,2.75,10,5400.0
28,Honda WRV i-VTEC VX,Kochi,2018,37430,1,0,1,17.5,1199.0,88.7,5.0,9.9,5,7486.0
29,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,0,0,4,12.8,2494.0,88.8,7.0,4.0,16,16375.0
30,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,0,0,1,19.01,1461.0,108.45,5.0,7.75,10,6200.0
31,Toyota Corolla Altis G,Delhi,2012,87615,1,0,1,14.53,1798.0,138.1,5.0,6.75,11,7965.0
32,Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,0,1,2,11.18,2696.0,88.8,7.0,12.5,10,7200.0
